"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","424","createСourierSameСourierBody","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","236","createСourierNotLoginTestMessageLogin","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","159","createСourierNotLoginTestMessagePassword","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","423","createСourierSameСourierText","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","1542","authorizationNotLogin","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","427","authorizationPasswordNotTrue","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","5268","createOrder_WithDifferentColors_ReturnsValidTrack(List, String)[1]","","","failed","","","Tests.OrderTest","Tests.OrderTest",""
"","583","authorization","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","484","authorizationLoginNotTrue","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","267","createСourierNotLoginTestCodeLogin","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","396","authorizationNotPassword","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","5257","createOrder_WithDifferentColors_ReturnsValidTrack(List, String)[3]","","","passed","","","Tests.OrderTest","Tests.OrderTest",""
"","206","createСourierNotLoginTestCodePassword","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","559","authorizationUserFalse","","","passed","","","Tests.AuthorizationTest","Tests.AuthorizationTest",""
"","5256","createOrder_WithDifferentColors_ReturnsValidTrack(List, String)[2]","","","passed","","","Tests.OrderTest","Tests.OrderTest",""
"","1265","createCourierCode201","","","passed","","","Tests.СourierTest","Tests.СourierTest",""
"","183","createСourierBody","","","failed","","","Tests.СourierTest","Tests.СourierTest",""
